"As Of Date","Time Series","Value (millions)"
"2023-11-01","PDMBSTOT","214482"
"2023-11-01","PDMBSTOTC","-26619"
"2023-11-01","PDMGOTOT","11530"
"2023-11-01","PDMGOTOTC","-559"
"2023-11-01","PDPOSABS-ALB","3025"
"2023-11-01","PDPOSABS-ALBC","178"
"2023-11-01","PDPOSABS-CCB","416"
"2023-11-01","PDPOSABS-CCBC","-9"
"2023-11-01","PDPOSABS-OAB","3708"
"2023-11-01","PDPOSABS-OABC","40"
"2023-11-01","PDPOSABS-SLB","1534"
"2023-11-01","PDPOSABS-SLBC","37"
"2023-11-01","PDPOSABS-TOT","8683"
"2023-11-01","PDPOSABS-TOTC","246"
"2023-11-01","PDPOSCS-TOT","20011"
"2023-11-01","PDPOSCS-TOTC","2469"
"2023-11-01","PDPOSCSBND-BELG10","704"
"2023-11-01","PDPOSCSBND-BELG10C","69"
"2023-11-01","PDPOSCSBND-BELG13","996"
"2023-11-01","PDPOSCSBND-BELG13C","-320"
"2023-11-01","PDPOSCSBND-BELG5L10","-452"
"2023-11-01","PDPOSCSBND-BELG5L10C","-197"
"2023-11-01","PDPOSCSBND-BELL13","1118"
"2023-11-01","PDPOSCSBND-BELL13C","142"
"2023-11-01","PDPOSCSBND-G10","792"
"2023-11-01","PDPOSCSBND-G10C","-121"
"2023-11-01","PDPOSCSBND-G13","4313"
"2023-11-01","PDPOSCSBND-G13C","1377"
"2023-11-01","PDPOSCSBND-G5L10","199"
"2023-11-01","PDPOSCSBND-G5L10C","743"
"2023-11-01","PDPOSCSBND-L13","2604"
"2023-11-01","PDPOSCSBND-L13C","623"
"2023-11-01","PDPOSCSCP","9737"
"2023-11-01","PDPOSCSCPC","153"
"2023-11-01","PDPOSFGS-C","12347"
"2023-11-01","PDPOSFGS-CC","1671"
"2023-11-01","PDPOSFGS-DN","4357"
"2023-11-01","PDPOSFGS-DNC","2866"
"2023-11-01","PDPOSFGS-TOT","16704"
"2023-11-01","PDPOSFGS-TOTC","4537"
"2023-11-01","PDPOSGS-B","57129"
"2023-11-01","PDPOSGS-BC","7602"
"2023-11-01","PDPOSGS-BFRN","5825"
"2023-11-01","PDPOSGS-BFRNC","-2395"
"2023-11-01","PDPOSGSC-G11L21","15919"
"2023-11-01","PDPOSGSC-G11L21C","1264"
"2023-11-01","PDPOSGSC-G21","16495"
"2023-11-01","PDPOSGSC-G21C","641"
"2023-11-01","PDPOSGSC-G2L3","2461"
"2023-11-01","PDPOSGSC-G2L3C","-1204"
"2023-11-01","PDPOSGSC-G3L6","38292"
"2023-11-01","PDPOSGSC-G3L6C","-5041"
"2023-11-01","PDPOSGSC-G6L7","16617"
"2023-11-01","PDPOSGSC-G6L7C","4237"
"2023-11-01","PDPOSGSC-G7L11","5856"
"2023-11-01","PDPOSGSC-G7L11C","-1001"
"2023-11-01","PDPOSGSC-L2","35629"
"2023-11-01","PDPOSGSC-L2C","6670"
"2023-11-01","PDPOSGST-TOT","211223"
"2023-11-01","PDPOSGST-TOTC","11713"
"2023-11-01","PDPOSMBS-TOT","85866"
"2023-11-01","PDPOSMBS-TOTC","-4193"
"2023-11-01","PDPOSMBSFGS-C","10449"
"2023-11-01","PDPOSMBSFGS-CC","513"
"2023-11-01","PDPOSMBSFGS-OR","24730"
"2023-11-01","PDPOSMBSFGS-ORC","-2707"
"2023-11-01","PDPOSMBSFGS-ST","336320"
"2023-11-01","PDPOSMBSFGS-STC","7162"
"2023-11-01","PDPOSMBSFGS-TBA","-298378"
"2023-11-01","PDPOSMBSFGS-TBAC","-9393"
"2023-11-01","PDPOSMBSNA-O","5941"
"2023-11-01","PDPOSMBSNA-OC","47"
"2023-11-01","PDPOSMBSNA-R","6804"
"2023-11-01","PDPOSMBSNA-RC","185"
"2023-11-01","PDPOSSMGO-G10","6165"
"2023-11-01","PDPOSSMGO-G10C","-311"
"2023-11-01","PDPOSSMGO-G13","1275"
"2023-11-01","PDPOSSMGO-G13C","15"
"2023-11-01","PDPOSSMGO-G5L10","2287"
"2023-11-01","PDPOSSMGO-G5L10C","-91"
"2023-11-01","PDPOSSMGO-L13","953"
"2023-11-01","PDPOSSMGO-L13C","-228"
"2023-11-01","PDPOSSMGO-TOT","11866"
"2023-11-01","PDPOSSMGO-TOTC","-2336"
"2023-11-01","PDPOSSMGO-VRD","1186"
"2023-11-01","PDPOSSMGO-VRDC","-1721"
"2023-11-01","PDPOSTIPS-G11","-27"
"2023-11-01","PDPOSTIPS-G11C","-156"
"2023-11-01","PDPOSTIPS-G2","6502"
"2023-11-01","PDPOSTIPS-G2C","-1255"
"2023-11-01","PDPOSTIPS-G6L11","1114"
"2023-11-01","PDPOSTIPS-G6L11C","-600"
"2023-11-01","PDPOSTIPS-L2","9411"
"2023-11-01","PDPOSTIPS-L2C","2951"
"2023-11-01","PDSI10COT-WIB","136315"
"2023-11-01","PDSI10COT-WIBC","21792"
"2023-11-01","PDSI10COT-WO","287401"
"2023-11-01","PDSI10COT-WOC","52366"
"2023-11-01","PDSI10F-TD","160"
"2023-11-01","PDSI10F-TDC","15"
"2023-11-01","PDSI10F-TR","192"
"2023-11-01","PDSI10F-TRC","24"
"2023-11-01","PDSI10GFSIG-OO","1197"
"2023-11-01","PDSI10GFSIG-OOC","146"
"2023-11-01","PDSI10GFSIG-T","*"
"2023-11-01","PDSI10GFSIG-TC","*"
"2023-11-01","PDSI10NSP","4778"
"2023-11-01","PDSI10NSPC","575"
"2023-11-01","PDSI10OGS-OO","4278"
"2023-11-01","PDSI10OGS-OOC","-3575"
"2023-11-01","PDSI10OSS-OO","26569"
"2023-11-01","PDSI10OSS-OOC","7611"
"2023-11-01","PDSI10OSSI-OO","28584"
"2023-11-01","PDSI10OSSI-OOC","2371"
"2023-11-01","PDSI10TGS-T","*"
"2023-11-01","PDSI10TGS-TC","-14"
"2023-11-01","PDSI10TSSI-T","10952"
"2023-11-01","PDSI10TSSI-TC","-184"
"2023-11-01","PDSI10TSTS-T","11619"
"2023-11-01","PDSI10TSTS-TC","634"
"2023-11-01","PDSI20COT-WIB","15275"
"2023-11-01","PDSI20COT-WIBC","-1454"
"2023-11-01","PDSI20COT-WO","29004"
"2023-11-01","PDSI20COT-WOC","-5749"
"2023-11-01","PDSI20F-TD","12"
"2023-11-01","PDSI20F-TDC","-187"
"2023-11-01","PDSI20F-TR","13"
"2023-11-01","PDSI20F-TRC","-198"
"2023-11-01","PDSI20GFSIG-OO","100"
"2023-11-01","PDSI20GFSIG-OOC","11"
"2023-11-01","PDSI20GFSIG-T","*"
"2023-11-01","PDSI20GFSIG-TC","24"
"2023-11-01","PDSI20NSP","-3685"
"2023-11-01","PDSI20NSPC","1154"
"2023-11-01","PDSI20OGS-OO","3015"
"2023-11-01","PDSI20OGS-OOC","2245"
"2023-11-01","PDSI20OSS-OO","7441"
"2023-11-01","PDSI20OSS-OOC","-3656"
"2023-11-01","PDSI20OSSI-OO","11896"
"2023-11-01","PDSI20OSSI-OOC","-3985"
"2023-11-01","PDSI20TGS-T","*"
"2023-11-01","PDSI20TGS-TC","14"
"2023-11-01","PDSI20TSSI-T","4274"
"2023-11-01","PDSI20TSSI-TC","-74"
"2023-11-01","PDSI20TSTS-T","1990"
"2023-11-01","PDSI20TSTS-TC","-1388"
"2023-11-01","PDSI2COT-WIB","102085"
"2023-11-01","PDSI2COT-WIBC","2540"
"2023-11-01","PDSI2COT-WO","165967"
"2023-11-01","PDSI2COT-WOC","-15719"
"2023-11-01","PDSI2F-TD","371"
"2023-11-01","PDSI2F-TDC","323"
"2023-11-01","PDSI2F-TR","288"
"2023-11-01","PDSI2F-TRC","87"
"2023-11-01","PDSI2GFSIG-OO","404"
"2023-11-01","PDSI2GFSIG-OOC","-261"
"2023-11-01","PDSI2GFSIG-T","0"
"2023-11-01","PDSI2GFSIG-TC","*"
"2023-11-01","PDSI2NSP","-1898"
"2023-11-01","PDSI2NSPC","-4773"
"2023-11-01","PDSI2OGS-OO","7514"
"2023-11-01","PDSI2OGS-OOC","-508"
"2023-11-01","PDSI2OSS-OO","20307"
"2023-11-01","PDSI2OSS-OOC","4415"
"2023-11-01","PDSI2OSSI-OO","30544"
"2023-11-01","PDSI2OSSI-OOC","10344"
"2023-11-01","PDSI2TGS-T","93"
"2023-11-01","PDSI2TGS-TC","*"
"2023-11-01","PDSI2TSSI-T","1492"
"2023-11-01","PDSI2TSSI-TC","-7616"
"2023-11-01","PDSI2TSTS-T","1204"
"2023-11-01","PDSI2TSTS-TC","-6704"
"2023-11-01","PDSI30COT-WIB","49459"
"2023-11-01","PDSI30COT-WIBC","3227"
"2023-11-01","PDSI30COT-WO","87558"
"2023-11-01","PDSI30COT-WOC","3148"
"2023-11-01","PDSI30F-TD","110"
"2023-11-01","PDSI30F-TDC","73"
"2023-11-01","PDSI30F-TR","59"
"2023-11-01","PDSI30F-TRC","22"
"2023-11-01","PDSI30GFSIG-OO","402"
"2023-11-01","PDSI30GFSIG-OOC","*"
"2023-11-01","PDSI30GFSIG-T","*"
"2023-11-01","PDSI30GFSIG-TC","6"
"2023-11-01","PDSI30NSP","2935"
"2023-11-01","PDSI30NSPC","30"
"2023-11-01","PDSI30OGS-OO","2644"
"2023-11-01","PDSI30OGS-OOC","-3076"
"2023-11-01","PDSI30OSS-OO","17934"
"2023-11-01","PDSI30OSS-OOC","5481"
"2023-11-01","PDSI30OSSI-OO","16858"
"2023-11-01","PDSI30OSSI-OOC","1974"
"2023-11-01","PDSI30TGS-T","*"
"2023-11-01","PDSI30TGS-TC","-29"
"2023-11-01","PDSI30TSSI-T","5599"
"2023-11-01","PDSI30TSSI-TC","1087"
"2023-11-01","PDSI30TSTS-T","4742"
"2023-11-01","PDSI30TSTS-TC","1771"
"2023-11-01","PDSI3COT-WIB","70788"
"2023-11-01","PDSI3COT-WIBC","12068"
"2023-11-01","PDSI3COT-WO","113136"
"2023-11-01","PDSI3COT-WOC","24480"
"2023-11-01","PDSI3F-TD","188"
"2023-11-01","PDSI3F-TDC","*"
"2023-11-01","PDSI3F-TR","364"
"2023-11-01","PDSI3F-TRC","*"
"2023-11-01","PDSI3GFSIG-OO","169"
"2023-11-01","PDSI3GFSIG-OOC","-64"
"2023-11-01","PDSI3GFSIG-T","0"
"2023-11-01","PDSI3GFSIG-TC","0"
"2023-11-01","PDSI3NSP","-2107"
"2023-11-01","PDSI3NSPC","-983"
"2023-11-01","PDSI3OGS-OO","1773"
"2023-11-01","PDSI3OGS-OOC","-1172"
"2023-11-01","PDSI3OSS-OO","21403"
"2023-11-01","PDSI3OSS-OOC","5851"
"2023-11-01","PDSI3OSSI-OO","23341"
"2023-11-01","PDSI3OSSI-OOC","3430"
"2023-11-01","PDSI3TGS-T","0"
"2023-11-01","PDSI3TGS-TC","*"
"2023-11-01","PDSI3TSSI-T","5041"
"2023-11-01","PDSI3TSSI-TC","1397"
"2023-11-01","PDSI3TSTS-T","2164"
"2023-11-01","PDSI3TSTS-TC","1160"
"2023-11-01","PDSI5COT-WIB","196565"
"2023-11-01","PDSI5COT-WIBC","18281"
"2023-11-01","PDSI5COT-WO","387547"
"2023-11-01","PDSI5COT-WOC","90672"
"2023-11-01","PDSI5F-TD","248"
"2023-11-01","PDSI5F-TDC","-464"
"2023-11-01","PDSI5F-TR","546"
"2023-11-01","PDSI5F-TRC","-584"
"2023-11-01","PDSI5GFSIG-OO","5026"
"2023-11-01","PDSI5GFSIG-OOC","4308"
"2023-11-01","PDSI5GFSIG-T","0"
"2023-11-01","PDSI5GFSIG-TC","0"
"2023-11-01","PDSI5NSP","-4534"
"2023-11-01","PDSI5NSPC","-462"
"2023-11-01","PDSI5OGS-OO","10025"
"2023-11-01","PDSI5OGS-OOC","7399"
"2023-11-01","PDSI5OSS-OO","20187"
"2023-11-01","PDSI5OSS-OOC","-6080"
"2023-11-01","PDSI5OSSI-OO","28725"
"2023-11-01","PDSI5OSSI-OOC","11"
"2023-11-01","PDSI5TGS-T","*"
"2023-11-01","PDSI5TGS-TC","*"
"2023-11-01","PDSI5TSSI-T","4487"
"2023-11-01","PDSI5TSSI-TC","-4924"
"2023-11-01","PDSI5TSTS-T","934"
"2023-11-01","PDSI5TSTS-TC","-3607"
"2023-11-01","PDSI7COT-WIB","46348"
"2023-11-01","PDSI7COT-WIBC","13733"
"2023-11-01","PDSI7COT-WO","122568"
"2023-11-01","PDSI7COT-WOC","58532"
"2023-11-01","PDSI7F-TD","52"
"2023-11-01","PDSI7F-TDC","-82"
"2023-11-01","PDSI7F-TR","105"
"2023-11-01","PDSI7F-TRC","-36"
"2023-11-01","PDSI7GFSIG-OO","3709"
"2023-11-01","PDSI7GFSIG-OOC","2679"
"2023-11-01","PDSI7GFSIG-T","0"
"2023-11-01","PDSI7GFSIG-TC","0"
"2023-11-01","PDSI7NSP","884"
"2023-11-01","PDSI7NSPC","783"
"2023-11-01","PDSI7OGS-OO","7530"
"2023-11-01","PDSI7OGS-OOC","2413"
"2023-11-01","PDSI7OSS-OO","12615"
"2023-11-01","PDSI7OSS-OOC","1576"
"2023-11-01","PDSI7OSSI-OO","17452"
"2023-11-01","PDSI7OSSI-OOC","4638"
"2023-11-01","PDSI7TGS-T","*"
"2023-11-01","PDSI7TGS-TC","*"
"2023-11-01","PDSI7TSSI-T","1639"
"2023-11-01","PDSI7TSSI-TC","-3858"
"2023-11-01","PDSI7TSTS-T","786"
"2023-11-01","PDSI7TSTS-TC","-710"
"2023-11-01","PDSIOSB-ABS","*"
"2023-11-01","PDSIOSB-ABSC","0"
"2023-11-01","PDSIOSB-ABSTAG30","0"
"2023-11-01","PDSIOSB-ABSTAL30","0"
"2023-11-01","PDSIOSB-ABSTOT","*"
"2023-11-01","PDSIOSB-CD","69007"
"2023-11-01","PDSIOSB-CDC","-25"
"2023-11-01","PDSIOSB-CDTAG30","452"
"2023-11-01","PDSIOSB-CDTAL30","422"
"2023-11-01","PDSIOSB-CDTOT","69881"
"2023-11-01","PDSIOSB-E","165289"
"2023-11-01","PDSIOSB-EC","5169"
"2023-11-01","PDSIOSB-ETAG30","9580"
"2023-11-01","PDSIOSB-ETAL30","*"
"2023-11-01","PDSIOSB-ETOT","*"
"2023-11-01","PDSIOSB-FGCM","0"
"2023-11-01","PDSIOSB-FGCMTAG30","0"
"2023-11-01","PDSIOSB-FGCMTAL30","0"
"2023-11-01","PDSIOSB-FGCMTOT","0"
"2023-11-01","PDSIOSB-FGCMTOTC","0"
"2023-11-01","PDSIOSB-FGEM","2602"
"2023-11-01","PDSIOSB-FGEMC","*"
"2023-11-01","PDSIOSB-FGEMTAG30","0"
"2023-11-01","PDSIOSB-FGEMTAL30","0"
"2023-11-01","PDSIOSB-FGEMTOT","2602"
"2023-11-01","PDSIOSB-FGM","420"
"2023-11-01","PDSIOSB-FGMC","-108"
"2023-11-01","PDSIOSB-FGMTAG30","506"
"2023-11-01","PDSIOSB-FGMTAL30","0"
"2023-11-01","PDSIOSB-FGMTOT","926"
"2023-11-01","PDSIOSB-O","380"
"2023-11-01","PDSIOSB-OC","18"
"2023-11-01","PDSIOSB-OTAG30","*"
"2023-11-01","PDSIOSB-OTAL30","0"
"2023-11-01","PDSIOSB-OTOT","*"
"2023-11-01","PDSIOSB-UTSET","224049"
"2023-11-01","PDSIOSB-UTSETC","-11798"
"2023-11-01","PDSIOSB-UTSETTA30","4853"
"2023-11-01","PDSIOSB-UTSETTAG30","75207"
"2023-11-01","PDSIOSB-UTSETTOT","304109"
"2023-11-01","PDSIOSB-UTST","30265"
"2023-11-01","PDSIOSB-UTSTC","-106"
"2023-11-01","PDSIOSB-UTSTTAG30","6665"
"2023-11-01","PDSIOSB-UTSTTAL30","1510"
"2023-11-01","PDSIOSB-UTSTTOT","38440"
"2023-11-01","PDSIRRA-ABSC","131"
"2023-11-01","PDSIRRA-ABSTOT","*"
"2023-11-01","PDSIRRA-CBGABS","0"
"2023-11-01","PDSIRRA-CBGABSTAG30","0"
"2023-11-01","PDSIRRA-CBGABSTAL30","0"
"2023-11-01","PDSIRRA-CBGCD","0"
"2023-11-01","PDSIRRA-CBGCDTAG30","0"
"2023-11-01","PDSIRRA-CBGCDTAL30","0"
"2023-11-01","PDSIRRA-CBGE","0"
"2023-11-01","PDSIRRA-CBGETAG30","0"
"2023-11-01","PDSIRRA-CBGETAL30","0"
"2023-11-01","PDSIRRA-CBGFGCM","0"
"2023-11-01","PDSIRRA-CBGFGCMTAG30","0"
"2023-11-01","PDSIRRA-CBGFGCMTAL30","0"
"2023-11-01","PDSIRRA-CBGFGEM","0"
"2023-11-01","PDSIRRA-CBGFGEMTAG30","0"
"2023-11-01","PDSIRRA-CBGFGEMTAL30","0"
"2023-11-01","PDSIRRA-CBGFGM","0"
"2023-11-01","PDSIRRA-CBGFGMTAG30","0"
"2023-11-01","PDSIRRA-CBGFGMTAL30","0"
"2023-11-01","PDSIRRA-CBGO","0"
"2023-11-01","PDSIRRA-CBGOTAG30","0"
"2023-11-01","PDSIRRA-CBGOTAL30","0"
"2023-11-01","PDSIRRA-CBGUTSET","22360"
"2023-11-01","PDSIRRA-CBGUTSETTAG30","8153"
"2023-11-01","PDSIRRA-CBGUTSETTAL30","4912"
"2023-11-01","PDSIRRA-CBGUTST","3047"
"2023-11-01","PDSIRRA-CBGUTSTTAG30","*"
"2023-11-01","PDSIRRA-CBGUTSTTAL30","0"
"2023-11-01","PDSIRRA-CBSABS","0"
"2023-11-01","PDSIRRA-CBSABSTAG30","0"
"2023-11-01","PDSIRRA-CBSABSTAL30","0"
"2023-11-01","PDSIRRA-CBSCD","0"
"2023-11-01","PDSIRRA-CBSCDTAG30","0"
"2023-11-01","PDSIRRA-CBSCDTAL30","0"
"2023-11-01","PDSIRRA-CBSE","0"
"2023-11-01","PDSIRRA-CBSETAG30","0"
"2023-11-01","PDSIRRA-CBSETAL30","0"
"2023-11-01","PDSIRRA-CBSFGCM","0"
"2023-11-01","PDSIRRA-CBSFGCMTAG30","0"
"2023-11-01","PDSIRRA-CBSFGCMTAL30","0"
"2023-11-01","PDSIRRA-CBSFGEM","0"
"2023-11-01","PDSIRRA-CBSFGEMTAG30","0"
"2023-11-01","PDSIRRA-CBSFGEMTAL30","0"
"2023-11-01","PDSIRRA-CBSFGM","0"
"2023-11-01","PDSIRRA-CBSFGMTAG30","0"
"2023-11-01","PDSIRRA-CBSFGMTAL30","0"
"2023-11-01","PDSIRRA-CBSO","0"
"2023-11-01","PDSIRRA-CBSOTAG30","0"
"2023-11-01","PDSIRRA-CBSOTAL30","0"
"2023-11-01","PDSIRRA-CBSPABS","0"
"2023-11-01","PDSIRRA-CBSPABSTAG30","0"
"2023-11-01","PDSIRRA-CBSPABSTAL30","0"
"2023-11-01","PDSIRRA-CBSPCD","0"
"2023-11-01","PDSIRRA-CBSPCDTAG30","0"
"2023-11-01","PDSIRRA-CBSPCDTAL30","0"
"2023-11-01","PDSIRRA-CBSPE","0"
"2023-11-01","PDSIRRA-CBSPETAG30","0"
"2023-11-01","PDSIRRA-CBSPETAL30","0"
"2023-11-01","PDSIRRA-CBSPFGCM","0"
"2023-11-01","PDSIRRA-CBSPFGCMTAG30","0"
"2023-11-01","PDSIRRA-CBSPFGCMTAL30","0"
"2023-11-01","PDSIRRA-CBSPFGEM","0"
"2023-11-01","PDSIRRA-CBSPFGEMTAG30","0"
"2023-11-01","PDSIRRA-CBSPFGEMTAL30","0"
"2023-11-01","PDSIRRA-CBSPFGM","0"
"2023-11-01","PDSIRRA-CBSPFGMTAG30","0"
"2023-11-01","PDSIRRA-CBSPFGMTAL30","0"
"2023-11-01","PDSIRRA-CBSPO","0"
"2023-11-01","PDSIRRA-CBSPOTAG30","0"
"2023-11-01","PDSIRRA-CBSPOTAL30","0"
"2023-11-01","PDSIRRA-CBSPUTSET","73200"
"2023-11-01","PDSIRRA-CBSPUTSETTAG30","*"
"2023-11-01","PDSIRRA-CBSPUTSETTAL30","18140"
"2023-11-01","PDSIRRA-CBSPUTST","4203"
"2023-11-01","PDSIRRA-CBSPUTSTTAG30","*"
"2023-11-01","PDSIRRA-CBSPUTSTTAL30","*"
"2023-11-01","PDSIRRA-CBSUTSET","300338"
"2023-11-01","PDSIRRA-CBSUTSETTAG30","68023"
"2023-11-01","PDSIRRA-CBSUTSETTAL30","32409"
"2023-11-01","PDSIRRA-CBSUTST","20064"
"2023-11-01","PDSIRRA-CBSUTSTTAG30","*"
"2023-11-01","PDSIRRA-CBSUTSTTAL30","0"
"2023-11-01","PDSIRRA-CDC","*"
"2023-11-01","PDSIRRA-CDTOT","*"
"2023-11-01","PDSIRRA-EC","-18"
"2023-11-01","PDSIRRA-ETOT","91"
"2023-11-01","PDSIRRA-FGCMTOT","2157"
"2023-11-01","PDSIRRA-FGCMTOTC","-43"
"2023-11-01","PDSIRRA-FGEMC","176"
"2023-11-01","PDSIRRA-FGEMTOT","3844"
"2023-11-01","PDSIRRA-FGMC","-8032"
"2023-11-01","PDSIRRA-FGMTOT","*"
"2023-11-01","PDSIRRA-GCFABS","0"
"2023-11-01","PDSIRRA-GCFABSTAG30","0"
"2023-11-01","PDSIRRA-GCFABSTAL30","0"
"2023-11-01","PDSIRRA-GCFCD","0"
"2023-11-01","PDSIRRA-GCFCDTAG30","0"
"2023-11-01","PDSIRRA-GCFCDTAL30","0"
"2023-11-01","PDSIRRA-GCFE","0"
"2023-11-01","PDSIRRA-GCFETAG30","0"
"2023-11-01","PDSIRRA-GCFETAL30","0"
"2023-11-01","PDSIRRA-GCFFGCM","0"
"2023-11-01","PDSIRRA-GCFFGCMTAG30","0"
"2023-11-01","PDSIRRA-GCFFGCMTAL30","0"
"2023-11-01","PDSIRRA-GCFFGEM","*"
"2023-11-01","PDSIRRA-GCFFGEMTAG30","0"
"2023-11-01","PDSIRRA-GCFFGEMTAL30","0"
"2023-11-01","PDSIRRA-GCFFGM","31530"
"2023-11-01","PDSIRRA-GCFFGMTAG30","32450"
"2023-11-01","PDSIRRA-GCFFGMTAL30","17450"
"2023-11-01","PDSIRRA-GCFO","0"
"2023-11-01","PDSIRRA-GCFOTAG30","0"
"2023-11-01","PDSIRRA-GCFOTAL30","0"
"2023-11-01","PDSIRRA-GCFUTSET","11710"
"2023-11-01","PDSIRRA-GCFUTSETTAG30","44215"
"2023-11-01","PDSIRRA-GCFUTSETTAL30","4425"
"2023-11-01","PDSIRRA-GCFUTST","*"
"2023-11-01","PDSIRRA-GCFUTSTTAG30","0"
"2023-11-01","PDSIRRA-GCFUTSTTAL30","0"
"2023-11-01","PDSIRRA-OC","-288"
"2023-11-01","PDSIRRA-OTOT","22823"
"2023-11-01","PDSIRRA-TRIABS","0"
"2023-11-01","PDSIRRA-TRIABSTAG30","0"
"2023-11-01","PDSIRRA-TRIABSTAL30","0"
"2023-11-01","PDSIRRA-TRICD","1265"
"2023-11-01","PDSIRRA-TRICDTAG30","0"
"2023-11-01","PDSIRRA-TRICDTAL30","0"
"2023-11-01","PDSIRRA-TRIE","*"
"2023-11-01","PDSIRRA-TRIETAG30","0"
"2023-11-01","PDSIRRA-TRIETAL30","0"
"2023-11-01","PDSIRRA-TRIFGCM","0"
"2023-11-01","PDSIRRA-TRIFGCMTAG30","0"
"2023-11-01","PDSIRRA-TRIFGCMTAL30","0"
"2023-11-01","PDSIRRA-TRIFGEM","0"
"2023-11-01","PDSIRRA-TRIFGEMTAG30","0"
"2023-11-01","PDSIRRA-TRIFGEMTAL30","0"
"2023-11-01","PDSIRRA-TRIFGM","8337"
"2023-11-01","PDSIRRA-TRIFGMTAG30","0"
"2023-11-01","PDSIRRA-TRIFGMTAL30","0"
"2023-11-01","PDSIRRA-TRIO","908"
"2023-11-01","PDSIRRA-TRIOTAG30","*"
"2023-11-01","PDSIRRA-TRIOTAL30","0"
"2023-11-01","PDSIRRA-TRIUTSET","6541"
"2023-11-01","PDSIRRA-TRIUTSETTAG30","0"
"2023-11-01","PDSIRRA-TRIUTSETTAL30","0"
"2023-11-01","PDSIRRA-TRIUTST","*"
"2023-11-01","PDSIRRA-TRIUTSTTAG30","0"
"2023-11-01","PDSIRRA-TRIUTSTTAL30","0"
"2023-11-01","PDSIRRA-UBGABS","0"
"2023-11-01","PDSIRRA-UBGABSTAG30","*"
"2023-11-01","PDSIRRA-UBGABSTAL30","0"
"2023-11-01","PDSIRRA-UBGCD","1771"
"2023-11-01","PDSIRRA-UBGCDTAG30","*"
"2023-11-01","PDSIRRA-UBGCDTAL30","0"
"2023-11-01","PDSIRRA-UBGE","0"
"2023-11-01","PDSIRRA-UBGETAG30","0"
"2023-11-01","PDSIRRA-UBGETAL30","0"
"2023-11-01","PDSIRRA-UBGFGCM","0"
"2023-11-01","PDSIRRA-UBGFGCMTAG30","*"
"2023-11-01","PDSIRRA-UBGFGCMTAL30","*"
"2023-11-01","PDSIRRA-UBGFGEM","*"
"2023-11-01","PDSIRRA-UBGFGEMTAG30","0"
"2023-11-01","PDSIRRA-UBGFGEMTAL30","*"
"2023-11-01","PDSIRRA-UBGFGM","*"
"2023-11-01","PDSIRRA-UBGFGMTAG30","18640"
"2023-11-01","PDSIRRA-UBGFGMTAL30","3721"
"2023-11-01","PDSIRRA-UBGO","*"
"2023-11-01","PDSIRRA-UBGOTAG30","*"
"2023-11-01","PDSIRRA-UBGOTAL30","*"
"2023-11-01","PDSIRRA-UBGUTSET","189730"
"2023-11-01","PDSIRRA-UBGUTSETTAG30","61200"
"2023-11-01","PDSIRRA-UBGUTSETTAL30","20162"
"2023-11-01","PDSIRRA-UBGUTST","14005"
"2023-11-01","PDSIRRA-UBGUTSTTAG30","12194"
"2023-11-01","PDSIRRA-UBGUTSTTAL30","1693"
"2023-11-01","PDSIRRA-UBSABS","291"
"2023-11-01","PDSIRRA-UBSABSTAG30","5901"
"2023-11-01","PDSIRRA-UBSABSTAL30","499"
"2023-11-01","PDSIRRA-UBSCD","9728"
"2023-11-01","PDSIRRA-UBSCDTAG30","8326"
"2023-11-01","PDSIRRA-UBSCDTAL30","3325"
"2023-11-01","PDSIRRA-UBSE","*"
"2023-11-01","PDSIRRA-UBSETAG30","0"
"2023-11-01","PDSIRRA-UBSETAL30","0"
"2023-11-01","PDSIRRA-UBSFGCM","*"
"2023-11-01","PDSIRRA-UBSFGCMTAG30","1614"
"2023-11-01","PDSIRRA-UBSFGCMTAL30","*"
"2023-11-01","PDSIRRA-UBSFGEM","993"
"2023-11-01","PDSIRRA-UBSFGEMTAG30","1102"
