"As Of Date","Time Series","Value (millions)"
"2023-11-01","PDSIRRA-UBSFGEMTAL30","1622"
"2023-11-01","PDSIRRA-UBSFGM","12267"
"2023-11-01","PDSIRRA-UBSFGMTAG30","109216"
"2023-11-01","PDSIRRA-UBSFGMTAL30","18892"
"2023-11-01","PDSIRRA-UBSO","2449"
"2023-11-01","PDSIRRA-UBSOTAG30","17781"
"2023-11-01","PDSIRRA-UBSOTAL30","811"
"2023-11-01","PDSIRRA-UBSUTSET","484236"
"2023-11-01","PDSIRRA-UBSUTSETTAG30","234122"
"2023-11-01","PDSIRRA-UBSUTSETTAL30","177174"
"2023-11-01","PDSIRRA-UBSUTST","59649"
"2023-11-01","PDSIRRA-UBSUTSTTAG30","32283"
"2023-11-01","PDSIRRA-UBSUTSTTAL30","33067"
"2023-11-01","PDSIRRA-UTSETC","*"
"2023-11-01","PDSIRRA-UTSETTOT","*"
"2023-10-31","PDMEFNMAFHLMC15-DRG55","924"
"2023-10-31","PDMEFNMAFHLMC15-DRL20","3260"
"2023-10-31","PDMEFNMAFHLMC15-DRT","61018"
"2023-10-31","PDMEFNMAFHLMC15-FD20","0"
"2023-10-31","PDMEFNMAFHLMC15-FD25","61"
"2023-10-31","PDMEFNMAFHLMC15-FD30","*"
"2023-10-31","PDMEFNMAFHLMC15-FD35","0"
"2023-10-31","PDMEFNMAFHLMC15-FD40","*"
"2023-10-31","PDMEFNMAFHLMC15-FD45","*"
"2023-10-31","PDMEFNMAFHLMC15-FD50","51"
"2023-10-31","PDMEFNMAFHLMC15-FD55","*"
"2023-10-31","PDMEFNMAFHLMC15-FDG55","0"
"2023-10-31","PDMEFNMAFHLMC15-FDL20","0"
"2023-10-31","PDMEFNMAFHLMC15-FDT","237"
"2023-10-31","PDMEFNMAFHLMC15-FR20","0"
"2023-10-31","PDMEFNMAFHLMC15-FR25","*"
"2023-10-31","PDMEFNMAFHLMC15-FR30","*"
"2023-10-31","PDMEFNMAFHLMC15-FR35","0"
"2023-10-31","PDMEFNMAFHLMC15-FR40","0"
"2023-10-31","PDMEFNMAFHLMC15-FR45","0"
"2023-10-31","PDMEFNMAFHLMC15-FR50","*"
"2023-10-31","PDMEFNMAFHLMC15-FR55","*"
"2023-10-31","PDMEFNMAFHLMC15-FRG55","0"
"2023-10-31","PDMEFNMAFHLMC15-FRL20","0"
"2023-10-31","PDMEFNMAFHLMC15-FRT","73"
"2023-10-31","PDMEFNMAFHLMC15-OUT20","10866"
"2023-10-31","PDMEFNMAFHLMC15-OUT25","14582"
"2023-10-31","PDMEFNMAFHLMC15-OUT30","8609"
"2023-10-31","PDMEFNMAFHLMC15-OUT35","5461"
"2023-10-31","PDMEFNMAFHLMC15-OUT40","8473"
"2023-10-31","PDMEFNMAFHLMC15-OUT45","9531"
"2023-10-31","PDMEFNMAFHLMC15-OUT50","13753"
"2023-10-31","PDMEFNMAFHLMC15-OUT55","7005"
"2023-10-31","PDMEFNMAFHLMC15-OUTG55","2690"
"2023-10-31","PDMEFNMAFHLMC15-OUTL20","2708"
"2023-10-31","PDMEFNMAFHLMC15-OUTT","83678"
"2023-10-31","PDMEGNMA-DR25","58719"
"2023-10-31","PDMEGNMA-DR30","68110"
"2023-10-31","PDMEGNMA-DR35","45533"
"2023-10-31","PDMEGNMA-DR40","51846"
"2023-10-31","PDMEGNMA-DR45","67794"
"2023-10-31","PDMEGNMA-DR50","48394"
"2023-10-31","PDMEGNMA-DR55","75121"
"2023-10-31","PDMEGNMA-DR60","81686"
"2023-10-31","PDMEGNMA-DRG60","46832"
"2023-10-31","PDMEGNMA-DRL25","20873"
"2023-10-31","PDMEGNMA-DRT","564908"
"2023-10-31","PDMEGNMA-FD25","*"
"2023-10-31","PDMEGNMA-FD30","*"
"2023-10-31","PDMEGNMA-FD35","*"
"2023-10-31","PDMEGNMA-FD40","*"
"2023-10-31","PDMEGNMA-FD45","0"
"2023-10-31","PDMEGNMA-FD50","*"
"2023-10-31","PDMEGNMA-FD55","*"
"2023-10-31","PDMEGNMA-FD60","*"
"2023-10-31","PDMEGNMA-FDG60","1799"
"2023-10-31","PDMEGNMA-FDL25","*"
"2023-10-31","PDMEGNMA-FDT","1882"
"2023-10-31","PDMEGNMA-FR25","*"
"2023-10-31","PDMEGNMA-FR30","*"
"2023-10-31","PDMEGNMA-FR35","*"
"2023-10-31","PDMEGNMA-FR40","0"
"2023-10-31","PDMEGNMA-FR45","0"
"2023-10-31","PDMEGNMA-FR50","*"
"2023-10-31","PDMEGNMA-FR55","*"
"2023-10-31","PDMEGNMA-FR60","57"
"2023-10-31","PDMEGNMA-FRG60","51"
"2023-10-31","PDMEGNMA-FRL25","*"
"2023-10-31","PDMEGNMA-FRT","222"
"2023-10-31","PDMEGNMA-OUT25","41090"
"2023-10-31","PDMEGNMA-OUT30","44850"
"2023-10-31","PDMEGNMA-OUT35","21851"
"2023-10-31","PDMEGNMA-OUT40","30729"
"2023-10-31","PDMEGNMA-OUT45","69509"
"2023-10-31","PDMEGNMA-OUT50","61569"
"2023-10-31","PDMEGNMA-OUT55","109057"
"2023-10-31","PDMEGNMA-OUT60","115850"
"2023-10-31","PDMEGNMA-OUTG60","122203"
"2023-10-31","PDMEGNMA-OUTL25","20807"
"2023-10-31","PDMEGNMA-OUTT","637515"
"2023-10-31","PDMEFHLMCNONUMBS-DR25","0"
"2023-10-31","PDMEFHLMCNONUMBS-DR30","0"
"2023-10-31","PDMEFHLMCNONUMBS-DR35","0"
"2023-10-31","PDMEFHLMCNONUMBS-DR40","0"
"2023-10-31","PDMEFHLMCNONUMBS-DR45","0"
"2023-10-31","PDMEFHLMCNONUMBS-DR50","0"
"2023-10-31","PDMEFHLMCNONUMBS-DR55","0"
"2023-10-31","PDMEFHLMCNONUMBS-DR60","0"
"2023-10-31","PDMEFHLMCNONUMBS-DRG60","0"
"2023-10-31","PDMEFHLMCNONUMBS-DRL25","0"
"2023-10-31","PDMEFHLMCNONUMBS-DRT","0"
"2023-10-31","PDMEFHLMCNONUMBS-FD25","0"
"2023-10-31","PDMEFHLMCNONUMBS-FD30","0"
"2023-10-31","PDMEFHLMCNONUMBS-FD35","*"
"2023-10-31","PDMEFHLMCNONUMBS-FD40","*"
"2023-10-31","PDMEFHLMCNONUMBS-FD45","0"
"2023-10-31","PDMEFHLMCNONUMBS-FD50","0"
"2023-10-31","PDMEFHLMCNONUMBS-FD55","0"
"2023-10-31","PDMEFHLMCNONUMBS-FD60","*"
"2023-10-31","PDMEFHLMCNONUMBS-FDG60","0"
"2023-10-31","PDMEFHLMCNONUMBS-FDL25","*"
"2023-10-31","PDMEFHLMCNONUMBS-FDT","94"
"2023-10-31","PDMEFHLMCNONUMBS-FR25","0"
"2023-10-31","PDMEFHLMCNONUMBS-FR30","0"
"2023-10-31","PDMEFHLMCNONUMBS-FR35","*"
"2023-10-31","PDMEFHLMCNONUMBS-FR40","*"
"2023-10-31","PDMEFHLMCNONUMBS-FR45","0"
"2023-10-31","PDMEFHLMCNONUMBS-FR50","0"
"2023-10-31","PDMEFHLMCNONUMBS-FR55","0"
"2023-10-31","PDMEFHLMCNONUMBS-FR60","0"
"2023-10-31","PDMEFHLMCNONUMBS-FRG60","0"
"2023-10-31","PDMEFHLMCNONUMBS-FRL25","51"
"2023-10-31","PDMEFHLMCNONUMBS-FRT","93"
"2023-10-31","PDMEFHLMCNONUMBS-OUT25","907"
"2023-10-31","PDMEFHLMCNONUMBS-OUT30","861"
"2023-10-31","PDMEFHLMCNONUMBS-OUT35","2364"
"2023-10-31","PDMEFHLMCNONUMBS-OUT40","529"
"2023-10-31","PDMEFHLMCNONUMBS-OUT45","1276"
"2023-10-31","PDMEFHLMCNONUMBS-OUT50","1265"
"2023-10-31","PDMEFHLMCNONUMBS-OUT55","2718"
"2023-10-31","PDMEFHLMCNONUMBS-OUT60","3012"
"2023-10-31","PDMEFHLMCNONUMBS-OUTG60","4079"
"2023-10-31","PDMEFHLMCNONUMBS-OUTL25","715"
"2023-10-31","PDMEFHLMCNONUMBS-OUTT","17726"
"2023-10-31","PDMEFHLMCNONUMBS15-DR20","0"
"2023-10-31","PDMEFHLMCNONUMBS15-DR25","0"
"2023-10-31","PDMEFHLMCNONUMBS15-DR30","0"
"2023-10-31","PDMEFHLMCNONUMBS15-DR35","0"
"2023-10-31","PDMEFHLMCNONUMBS15-DR40","0"
"2023-10-31","PDMEFHLMCNONUMBS15-DR45","0"
"2023-10-31","PDMEFHLMCNONUMBS15-DR50","0"
"2023-10-31","PDMEFHLMCNONUMBS15-DR55","0"
"2023-10-31","PDMEFHLMCNONUMBS15-DRG55","0"
"2023-10-31","PDMEFHLMCNONUMBS15-DRL20","0"
"2023-10-31","PDMEFHLMCNONUMBS15-DRT","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FD20","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FD25","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FD30","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FD35","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FD40","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FD45","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FD50","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FD55","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FDG55","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FDL20","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FDT","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FR20","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FR25","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FR30","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FR35","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FR40","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FR45","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FR50","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FR55","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FRG55","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FRL20","0"
"2023-10-31","PDMEFHLMCNONUMBS15-FRT","0"
"2023-10-31","PDMEFHLMCNONUMBS15-OUT20","104"
"2023-10-31","PDMEFHLMCNONUMBS15-OUT25","1595"
"2023-10-31","PDMEFHLMCNONUMBS15-OUT30","659"
"2023-10-31","PDMEFHLMCNONUMBS15-OUT35","173"
"2023-10-31","PDMEFHLMCNONUMBS15-OUT40","343"
"2023-10-31","PDMEFHLMCNONUMBS15-OUT45","189"
"2023-10-31","PDMEFHLMCNONUMBS15-OUT50","230"
"2023-10-31","PDMEFHLMCNONUMBS15-OUT55","88"
"2023-10-31","PDMEFHLMCNONUMBS15-OUTG55","424"
"2023-10-31","PDMEFHLMCNONUMBS15-OUTL20","*"
"2023-10-31","PDMEFHLMCNONUMBS15-OUTT","*"
"2023-10-31","PDMEFNMAFHLMC-DR25","102647"
"2023-10-31","PDMEFNMAFHLMC-DR30","138737"
"2023-10-31","PDMEFNMAFHLMC-DR35","134148"
"2023-10-31","PDMEFNMAFHLMC-DR40","130447"
"2023-10-31","PDMEFNMAFHLMC-DR45","159513"
"2023-10-31","PDMEFNMAFHLMC-DR50","228627"
"2023-10-31","PDMEFNMAFHLMC-DR55","271019"
"2023-10-31","PDMEFNMAFHLMC-DR60","312133"
"2023-10-31","PDMEFNMAFHLMC-DRG60","161440"
"2023-10-31","PDMEFNMAFHLMC-DRL25","77277"
"2023-10-31","PDMEFNMAFHLMC-DRT","1715988"
"2023-10-31","PDMEFNMAFHLMC-FD25","4"
"2023-10-31","PDMEFNMAFHLMC-FD30","21"
"2023-10-31","PDMEFNMAFHLMC-FD35","189"
"2023-10-31","PDMEFNMAFHLMC-FD40","143"
"2023-10-31","PDMEFNMAFHLMC-FD45","0"
"2023-10-31","PDMEFNMAFHLMC-FD50","5"
"2023-10-31","PDMEFNMAFHLMC-FD55","*"
"2023-10-31","PDMEFNMAFHLMC-FD60","*"
"2023-10-31","PDMEFNMAFHLMC-FDG60","828"
"2023-10-31","PDMEFNMAFHLMC-FDL25","170"
"2023-10-31","PDMEFNMAFHLMC-FDT","1529"
"2023-10-31","PDMEFNMAFHLMC-FR25","*"
"2023-10-31","PDMEFNMAFHLMC-FR30","9"
"2023-10-31","PDMEFNMAFHLMC-FR35","164"
"2023-10-31","PDMEFNMAFHLMC-FR40","147"
"2023-10-31","PDMEFNMAFHLMC-FR45","0"
"2023-10-31","PDMEFNMAFHLMC-FR50","*"
"2023-10-31","PDMEFNMAFHLMC-FR55","*"
"2023-10-31","PDMEFNMAFHLMC-FR60","0"
"2023-10-31","PDMEFNMAFHLMC-FRG60","*"
"2023-10-31","PDMEFNMAFHLMC-FRL25","103"
"2023-10-31","PDMEFNMAFHLMC-FRT","503"
"2023-10-31","PDMEFNMAFHLMC-OUT25","129625"
"2023-10-31","PDMEFNMAFHLMC-OUT30","161269"
"2023-10-31","PDMEFNMAFHLMC-OUT35","137820"
"2023-10-31","PDMEFNMAFHLMC-OUT40","180558"
"2023-10-31","PDMEFNMAFHLMC-OUT45","181651"
"2023-10-31","PDMEFNMAFHLMC-OUT50","316774"
"2023-10-31","PDMEFNMAFHLMC-OUT55","397268"
"2023-10-31","PDMEFNMAFHLMC-OUT60","448485"
"2023-10-31","PDMEFNMAFHLMC-OUTG60","329070"
"2023-10-31","PDMEFNMAFHLMC-OUTL25","104357"
"2023-10-31","PDMEFNMAFHLMC-OUTT","2386877"
"2023-10-31","PDMEFNMAFHLMC15-DR20","11571"
"2023-10-31","PDMEFNMAFHLMC15-DR25","8395"
"2023-10-31","PDMEFNMAFHLMC15-DR30","7975"
"2023-10-31","PDMEFNMAFHLMC15-DR35","5064"
"2023-10-31","PDMEFNMAFHLMC15-DR40","6659"
"2023-10-31","PDMEFNMAFHLMC15-DR45","6558"
"2023-10-31","PDMEFNMAFHLMC15-DR50","8092"
"2023-10-31","PDMEFNMAFHLMC15-DR55","2520"
"2023-10-23","PDCCGNMA-DR25","58719"
"2023-10-23","PDCCGNMA-OUTT","609754"
"2023-10-23","PDCCGNMA-OUTL25","20662"
"2023-10-23","PDCCGNMA-OUTG60","110649"
"2023-10-23","PDCCGNMA-OUT60","110381"
"2023-10-23","PDCCGNMA-OUT55","105419"
"2023-10-23","PDCCGNMA-OUT50","58830"
"2023-10-23","PDCCGNMA-OUT45","66914"
"2023-10-23","PDCCGNMA-OUT40","30245"
"2023-10-23","PDCCGNMA-OUT35","21293"
"2023-10-23","PDCCGNMA-OUT30","44454"
"2023-10-23","PDCCGNMA-OUT25","40907"
"2023-10-23","PDCCGNMA-FRT","2576"
"2023-10-23","PDCCGNMA-FRL25","58"
"2023-10-23","PDCCGNMA-FRG60","701"
"2023-10-23","PDCCGNMA-FR60","120"
"2023-10-23","PDCCGNMA-FR55","96"
"2023-10-23","PDCCGNMA-FR50","166"
"2023-10-23","PDCCGNMA-FR45","882"
"2023-10-23","PDCCGNMA-FR40","79"
"2023-10-23","PDCCGNMA-FR35","179"
"2023-10-23","PDCCGNMA-FR30","101"
"2023-10-23","PDCCGNMA-FR25","194"
"2023-10-23","PDCCGNMA-FDT","3009"
"2023-10-23","PDCCGNMA-FDL25","60"
"2023-10-23","PDCCGNMA-FDG60","565"
"2023-10-23","PDCCGNMA-FD60","347"
"2023-10-23","PDCCGNMA-FD55","188"
"2023-10-23","PDCCGNMA-FD50","161"
"2023-10-23","PDCCGNMA-FD45","1098"
"2023-10-23","PDCCGNMA-FD40","161"
"2023-10-23","PDCCGNMA-FD35","188"
"2023-10-23","PDCCGNMA-FD30","121"
"2023-10-23","PDCCGNMA-FD25","120"
"2023-10-23","PDCCGNMA-DRT","564978"
"2023-10-23","PDCCGNMA-DRL25","20873"
"2023-10-23","PDCCGNMA-DRG60","46896"
"2023-10-23","PDCCGNMA-DR60","81697"
"2023-10-23","PDCCGNMA-DR55","75117"
"2023-10-23","PDCCGNMA-DR50","48394"
"2023-10-23","PDCCGNMA-DR45","67793"
"2023-10-23","PDCCGNMA-DR40","51846"
"2023-10-23","PDCCGNMA-DR35","45533"
"2023-10-23","PDCCGNMA-DR30","68110"
"2023-10-18","PDCBFNMAFHLMC-DR45","6558"
"2023-10-18","PDCBFHLMCNONUMBS-DR20","0"
"2023-10-18","PDCBFHLMCNONUMBS-DR25","0"
"2023-10-18","PDCBFHLMCNONUMBS-DR30","0"
"2023-10-18","PDCBFHLMCNONUMBS-DR35","0"
"2023-10-18","PDCBFHLMCNONUMBS-DR40","0"
"2023-10-18","PDCBFHLMCNONUMBS-DR45","0"
"2023-10-18","PDCBFHLMCNONUMBS-DR50","0"
"2023-10-18","PDCBFHLMCNONUMBS-DR55","0"
"2023-10-18","PDCBFHLMCNONUMBS-DRG55","0"
"2023-10-18","PDCBFHLMCNONUMBS-DRL20","0"
"2023-10-18","PDCBFHLMCNONUMBS-DRT","0"
"2023-10-18","PDCBFHLMCNONUMBS-FD20","*"
"2023-10-18","PDCBFHLMCNONUMBS-FD25","0"
"2023-10-18","PDCBFHLMCNONUMBS-FD30","*"
"2023-10-18","PDCBFHLMCNONUMBS-FD35","*"
"2023-10-18","PDCBFHLMCNONUMBS-FD40","0"
"2023-10-18","PDCBFHLMCNONUMBS-FD45","*"
"2023-10-18","PDCBFHLMCNONUMBS-FD50","*"
"2023-10-18","PDCBFHLMCNONUMBS-FD55","*"
"2023-10-18","PDCBFHLMCNONUMBS-FDG55","*"
"2023-10-18","PDCBFHLMCNONUMBS-FDL20","0"
"2023-10-18","PDCBFHLMCNONUMBS-FDT","43"
"2023-10-18","PDCBFHLMCNONUMBS-FR20","*"
"2023-10-18","PDCBFHLMCNONUMBS-FR25","0"
"2023-10-18","PDCBFHLMCNONUMBS-FR30","*"
"2023-10-18","PDCBFHLMCNONUMBS-FR35","*"
"2023-10-18","PDCBFHLMCNONUMBS-FR40","0"
"2023-10-18","PDCBFHLMCNONUMBS-FR45","*"
"2023-10-18","PDCBFHLMCNONUMBS-FR50","0"
"2023-10-18","PDCBFHLMCNONUMBS-FR55","0"
"2023-10-18","PDCBFHLMCNONUMBS-FRG55","0"
"2023-10-18","PDCBFHLMCNONUMBS-FRL20","*"
"2023-10-18","PDCBFHLMCNONUMBS-FRT","31"
"2023-10-18","PDCBFHLMCNONUMBS-OUT20","*"
"2023-10-18","PDCBFHLMCNONUMBS-OUT25","49"
"2023-10-18","PDCBFHLMCNONUMBS-OUT30","41"
"2023-10-18","PDCBFHLMCNONUMBS-OUT35","159"
"2023-10-18","PDCBFHLMCNONUMBS-OUT40","214"
"2023-10-18","PDCBFHLMCNONUMBS-OUT45","179"
"2023-10-18","PDCBFHLMCNONUMBS-OUT50","133"
"2023-10-18","PDCBFHLMCNONUMBS-OUT55","88"
"2023-10-18","PDCBFHLMCNONUMBS-OUTG55","292"
"2023-10-18","PDCBFHLMCNONUMBS-OUTL20","*"
"2023-10-18","PDCBFHLMCNONUMBS-OUTT","1301"
"2023-10-18","PDCBFNMAFHLMC-DR20","11571"
"2023-10-18","PDCBFNMAFHLMC-DR25","8311"
"2023-10-18","PDCBFNMAFHLMC-DR30","7975"
"2023-10-18","PDCBFNMAFHLMC-DR35","5064"
"2023-10-18","PDCBFNMAFHLMC-DR40","6658"
"2023-10-18","PDCBFNMAFHLMC-DR50","8092"
"2023-10-18","PDCBFNMAFHLMC-DR55","2520"
"2023-10-18","PDCBFNMAFHLMC-DRG55","924"
"2023-10-18","PDCBFNMAFHLMC-DRL20","3260"
"2023-10-18","PDCBFNMAFHLMC-DRT","60933"
"2023-10-18","PDCBFNMAFHLMC-FD20","103"
"2023-10-18","PDCBFNMAFHLMC-FD25","131"
"2023-10-18","PDCBFNMAFHLMC-FD30","37"
"2023-10-18","PDCBFNMAFHLMC-FD35","32"
"2023-10-18","PDCBFNMAFHLMC-FD40","27"
"2023-10-18","PDCBFNMAFHLMC-FD45","44"
"2023-10-18","PDCBFNMAFHLMC-FD50","60"
"2023-10-18","PDCBFNMAFHLMC-FD55","10"
"2023-10-18","PDCBFNMAFHLMC-FDG55","*"
"2023-10-18","PDCBFNMAFHLMC-FDL20","*"
"2023-10-18","PDCBFNMAFHLMC-FDT","468"
"2023-10-18","PDCBFNMAFHLMC-FR20","108"
"2023-10-18","PDCBFNMAFHLMC-FR25","*"
"2023-10-18","PDCBFNMAFHLMC-FR30","*"
"2023-10-18","PDCBFNMAFHLMC-FR35","32"
"2023-10-18","PDCBFNMAFHLMC-FR40","15"
"2023-10-18","PDCBFNMAFHLMC-FR45","26"
"2023-10-18","PDCBFNMAFHLMC-FR50","33"
"2023-10-18","PDCBFNMAFHLMC-FR55","9"
"2023-10-18","PDCBFNMAFHLMC-FRG55","*"
"2023-10-18","PDCBFNMAFHLMC-FRL20","*"
"2023-10-18","PDCBFNMAFHLMC-FRT","394"
"2023-10-18","PDCBFNMAFHLMC-OUT20","10606"
"2023-10-18","PDCBFNMAFHLMC-OUT25","12237"
"2023-10-18","PDCBFNMAFHLMC-OUT30","7742"
"2023-10-18","PDCBFNMAFHLMC-OUT35","4917"
"2023-10-18","PDCBFNMAFHLMC-OUT40","8190"
"2023-10-18","PDCBFNMAFHLMC-OUT45","8081"
"2023-10-18","PDCBFNMAFHLMC-OUT50","12836"
"2023-10-18","PDCBFNMAFHLMC-OUT55","6652"
"2023-10-18","PDCBFNMAFHLMC-OUTG55","2089"
"2023-10-18","PDCBFNMAFHLMC-OUTL20","2082"
"2023-10-18","PDCBFNMAFHLMC-OUTT","75432"
"2023-10-12","PDCAFHLMCNONUMBS-OUTT","10716"
"2023-10-12","PDCAFNMAFHLMC-DR30","138716"
"2023-10-12","PDCAFNMAFHLMC-DR35","134176"
"2023-10-12","PDCAFNMAFHLMC-DR40","129502"
"2023-10-12","PDCAFNMAFHLMC-DR45","158763"
"2023-10-12","PDCAFNMAFHLMC-DR50","228739"
"2023-10-12","PDCAFNMAFHLMC-DR55","271081"
"2023-10-12","PDCAFNMAFHLMC-DR60","311595"
"2023-10-12","PDCAFNMAFHLMC-DRG60","161586"
"2023-10-12","PDCAFNMAFHLMC-DRL25","77281"
"2023-10-12","PDCAFNMAFHLMC-DRT","1714204"
"2023-10-12","PDCAFNMAFHLMC-FD25","945"
"2023-10-12","PDCAFNMAFHLMC-FD30","1539"
"2023-10-12","PDCAFNMAFHLMC-FD35","736"
"2023-10-12","PDCAFNMAFHLMC-FD40","1079"
"2023-10-12","PDCAFNMAFHLMC-FD45","582"
"2023-10-12","PDCAFNMAFHLMC-FD50","873"
"2023-10-12","PDCAFNMAFHLMC-FD55","320"
"2023-10-12","PDCAFNMAFHLMC-FD60","300"
"2023-10-12","PDCAFNMAFHLMC-FDG60","438"
"2023-10-12","PDCAFNMAFHLMC-FDL25","304"
"2023-10-12","PDCAFNMAFHLMC-FDT","7116"
"2023-10-12","PDCAFNMAFHLMC-FR25","868"
"2023-10-12","PDCAFNMAFHLMC-FR30","1289"
"2023-10-12","PDCAFNMAFHLMC-FR35","677"
"2023-10-12","PDCAFNMAFHLMC-FR40","1014"
"2023-10-12","PDCAFNMAFHLMC-FR45","692"
"2023-10-12","PDCAFNMAFHLMC-FR50","674"
"2023-10-12","PDCAFNMAFHLMC-FR55","634"
"2023-10-12","PDCAFNMAFHLMC-FR60","261"
"2023-10-12","PDCAFNMAFHLMC-FRG60","372"
"2023-10-12","PDCAFNMAFHLMC-FRL25","346"
"2023-10-12","PDCAFNMAFHLMC-FRT","6827"
"2023-10-12","PDCAFNMAFHLMC-OUT25","127443"
"2023-10-12","PDCAFNMAFHLMC-OUT30","156538"
"2023-10-12","PDCAFNMAFHLMC-OUT35","136065"
"2023-10-12","PDCAFNMAFHLMC-OUT40","175031"
"2023-10-12","PDCAFNMAFHLMC-OUT45","176252"
"2023-10-12","PDCAFNMAFHLMC-OUT50","309651"
"2023-10-12","PDCAFNMAFHLMC-OUT55","391845"
"2023-10-12","PDCAFNMAFHLMC-OUT60","439846"
"2023-10-12","PDCAFNMAFHLMC-OUTG60","315640"
"2023-10-12","PDCAFNMAFHLMC-OUTL25","103121"
"2023-10-12","PDCAFNMAFHLMC-OUTT","2331432"
"2023-10-12","PDCAFHLMCNONUMBS-OUTL25","320"
"2023-10-12","PDCAFHLMCNONUMBS-OUTG60","1471"
"2023-10-12","PDCAFHLMCNONUMBS-OUT60","1826"
"2023-10-12","PDCAFHLMCNONUMBS-OUT55","2458"
"2023-10-12","PDCAFHLMCNONUMBS-DR25","0"
"2023-10-12","PDCAFHLMCNONUMBS-OUT50","919"
"2023-10-12","PDCAFHLMCNONUMBS-OUT45","554"
"2023-10-12","PDCAFHLMCNONUMBS-OUT40","105"
"2023-10-12","PDCAFHLMCNONUMBS-OUT35","1733"
"2023-10-12","PDCAFHLMCNONUMBS-OUT30","694"
"2023-10-12","PDCAFHLMCNONUMBS-OUT25","636"
"2023-10-12","PDCAFHLMCNONUMBS-FRT","567"
"2023-10-12","PDCAFHLMCNONUMBS-FRL25","*"
"2023-10-12","PDCAFHLMCNONUMBS-FRG60","*"
"2023-10-12","PDCAFHLMCNONUMBS-FR60","*"
"2023-10-12","PDCAFHLMCNONUMBS-FR55","*"
"2023-10-12","PDCAFHLMCNONUMBS-FR50","*"
"2023-10-12","PDCAFHLMCNONUMBS-FR45","29"
"2023-10-12","PDCAFHLMCNONUMBS-FR40","172"
"2023-10-12","PDCAFHLMCNONUMBS-FR35","42"
"2023-10-12","PDCAFHLMCNONUMBS-FR30","*"
"2023-10-12","PDCAFHLMCNONUMBS-FR25","35"
"2023-10-12","PDCAFHLMCNONUMBS-FDT","1000"
"2023-10-12","PDCAFHLMCNONUMBS-FDL25","*"
"2023-10-12","PDCAFHLMCNONUMBS-FDG60","0"
"2023-10-12","PDCAFHLMCNONUMBS-FD60","*"
"2023-10-12","PDCAFHLMCNONUMBS-FD55","438"
"2023-10-12","PDCAFHLMCNONUMBS-FD50","*"
"2023-10-12","PDCAFHLMCNONUMBS-FD45","*"
"2023-10-12","PDCAFHLMCNONUMBS-FD40","177"
"2023-10-12","PDCAFHLMCNONUMBS-FD35","60"
"2023-10-12","PDCAFHLMCNONUMBS-FD30","172"
"2023-10-12","PDCAFHLMCNONUMBS-FD25","32"
"2023-10-12","PDCAFHLMCNONUMBS-DRT","0"
"2023-10-12","PDCAFHLMCNONUMBS-DRL25","0"
"2023-10-12","PDCAFHLMCNONUMBS-DRG60","0"
"2023-10-12","PDCAFHLMCNONUMBS-DR60","0"
"2023-10-12","PDCAFHLMCNONUMBS-DR55","0"
"2023-10-12","PDCAFHLMCNONUMBS-DR50","0"
"2023-10-12","PDCAFHLMCNONUMBS-DR45","0"
"2023-10-12","PDCAFHLMCNONUMBS-DR40","0"
"2023-10-12","PDCAFHLMCNONUMBS-DR35","0"
"2023-10-12","PDCAFHLMCNONUMBS-DR30","0"
"2023-10-12","PDCAFNMAFHLMC-DR25","102765"
